iter	Logloss
0	0.5935617146
1	0.5150019741
2	0.4586687082
3	0.4142033826
4	0.378517758255	0.353716046966	0.331517899577	0.311802620188	0.296602045499	0.286336576410	0.2770116079
11	0.2698859236
12	0.2654582559
13	0.2603367874
14	0.2562430761
15	0.2521600613
16	0.249293117617	0.2460303102
18	0.2440078821
19	0.242770575
20	0.2410200559
21	0.2394643046
22	0.2388881556
23	0.2378687035
24	0.2369179752
25	0.2356073186
26	0.2349828581
27	0.2343839855
28	0.2339151638
29	0.2332546562
30	0.2327535737
31	0.2323865955
32	0.2316726081
33	0.2310103087
34	0.2304191579
35	0.2301258943
36	0.229748735
37	0.2292005896
38	0.2287246566
39	0.2283824564
40	0.2280313678
41	0.2276995364
42	0.2274996622
43	0.227179486
44	0.2269992071
45	0.2265973836
46	0.226202892
47	0.2259742896
48	0.2257039167
49	0.2255297843
50	0.2250803108
51	0.2248680147
52	0.2246072099
53	0.2242661358
54	0.2240127703
55	0.2237932582
56	0.2235971009
57	0.2234220137
58	0.2231658294
59	0.2228833468
60	0.2227732747
61	0.2226182877
62	0.2225274714
63	0.2221858932
64	0.2219277845
65	0.2218109334
66	0.2215988122
67	0.2213293295
68	0.2211373987
69	0.2209421131
70	0.2205610927
71	0.2204365783
72	0.2202613886
73	0.2201058702
74	0.2198921989
75	0.2196639646
76	0.2194799836
77	0.2193283535
78	0.2192245858
79	0.2190266839
80	0.2187949343
81	0.21875397
82	0.2185829922
83	0.2184279982
84	0.2182765943
85	0.2181784441
86	0.218012302
87	0.2178647223
88	0.2177264347
89	0.2174078655
90	0.2172188619
91	0.2167527499
92	0.2166457284
93	0.2165295399
94	0.2163387406
95	0.2161853927
96	0.2159531008
97	0.2158219082
98	0.2157537606
99	0.2155679653
100	0.2154451633
101	0.2153279176
102	0.215207003
103	0.2150777396
104	0.2149071976
105	0.214772741
106	0.2144108717
107	0.2142639108
108	0.2137126303
109	0.2135728926
110	0.2133704127
111	0.2132127492
112	0.2131596127
113	0.2130408691
114	0.2128732156
115	0.2127405868
116	0.2126470278
117	0.2124701274
118	0.2123378275
119	0.2122432977
120	0.2121231737
121	0.2118726861
122	0.2117401689
123	0.2116730715
124	0.2114104607
125	0.2111713886
126	0.2110381072
127	0.2109089485
128	0.2108235606
129	0.2106686151
130	0.2105337944
131	0.2102864413
132	0.2100606407
133	0.2099787157
134	0.2098775886
135	0.2096384803
136	0.2094838305
137	0.2094122176
138	0.209322039
139	0.2092618116
140	0.2090375987
141	0.2088307445
142	0.2087009219
143	0.2085234037
144	0.2083529706
145	0.2081397251
146	0.207965824
147	0.2078246813
148	0.2076565377
149	0.207598347
150	0.2075614507
151	0.2074381817
152	0.2072787067
153	0.2072392424
154	0.2071150937
155	0.2070290751
156	0.2069463401
157	0.2068681933
158	0.2066987726
159	0.2065676929
160	0.2064208733
161	0.2063527987
162	0.2061737284
163	0.2061297001
164	0.2060435014
165	0.2058994684
166	0.2057485391
167	0.205661466
168	0.2056363394
169	0.2055141366
170	0.2053736641
171	0.2053288957
172	0.2052151353
173	0.2050422116
174	0.2049621643
175	0.2049213771
176	0.2048162146
177	0.204795886
178	0.2047437657
179	0.2045958418
180	0.2044347118
181	0.2043864809
182	0.2042731328
183	0.2041187129
184	0.2040104235
185	0.2039748608
186	0.2038984035
187	0.2037947186
188	0.2037435348
189	0.2036404598
190	0.2036188123
191	0.2035730054
192	0.2032623038
193	0.2032037072
194	0.2030846304
195	0.202991891
196	0.2029010679
197	0.2028690897
198	0.2027485542
199	0.202666232
200	0.2025240243
201	0.2024224575
202	0.202283494
203	0.2022146897
204	0.2021590865
205	0.2021239924
206	0.2019930751
207	0.201943375
208	0.2018570623
209	0.2017751807
210	0.2017117471
211	0.2015861221
212	0.2014966067
213	0.2013725598
214	0.201303987
215	0.2012783495
216	0.2011571848
217	0.2010680762
218	0.2008865613
219	0.2007501386
220	0.200708477
221	0.2006028796
222	0.2005475128
223	0.200433188
224	0.2003506975
225	0.2002674085
226	0.2001632831
227	0.2000693898
228	0.1999756454
229	0.1999084232
230	0.1998659646
231	0.1997995305
232	0.1996707284
233	0.1995458223
234	0.1994669329
235	0.1993652707
236	0.1993400523
237	0.1993073327
238	0.1991789152
239	0.1991184307
240	0.1990532794
241	0.1989191807
242	0.1988002023
243	0.1987017203
244	0.1985980907
245	0.1985198208
246	0.1984359883
247	0.1983047619
248	0.1981547279
249	0.1980364723
250	0.1979775162
251	0.1979227347
252	0.1978222435
253	0.1977299252
254	0.1976324818
255	0.1975173533
256	0.1974280341
257	0.1973807822
258	0.1973416006
259	0.1972728093
260	0.1972347437
261	0.1971992282
262	0.1971093707
263	0.1970752237
264	0.1969745499
265	0.1968981633
266	0.1968851274
267	0.1966833063
268	0.19655585
269	0.1964421549
270	0.1964137694
271	0.1963632713
272	0.1962300984
273	0.1961583002
274	0.1960502308
275	0.196017387
276	0.1959310321
277	0.1958711111
278	0.1958185053
279	0.1957412896
280	0.1956977023
281	0.1955908917
282	0.1955533644
283	0.1954901949
284	0.1954025597
285	0.1953709492
286	0.1953353419
287	0.1952961369
288	0.1951512714
289	0.1950855714
290	0.1950246239
291	0.1949553415
292	0.1949142662
293	0.1948911419
294	0.1947973984
295	0.1947498711
296	0.1945959259
297	0.1945240225
298	0.1943657792
299	0.1942245795
